,Test Year,Linear Precision,SVM Precision,Forest Precision
0,1983,0.0,0.06666666666666667,0.2
1,1984,0.375,0.375,0.3125
2,1985,0.1875,0.1875,0.1875
3,1986,0.3125,0.1875,0.125
4,1987,0.125,0.125,0.0625
5,1988,0.5625,0.625,0.375
6,1989,0.3125,0.375,0.375
7,1990,0.3125,0.3125,0.4375
8,1991,0.4375,0.4375,0.5625
9,1992,0.5,0.5,0.5
10,1993,0.3125,0.375,0.5
11,1994,0.6,0.5333333333333333,0.26666666666666666
12,1995,0.4117647058823529,0.47058823529411764,0.29411764705882354
13,1996,0.4375,0.25,0.375
14,1997,0.4117647058823529,0.47058823529411764,0.29411764705882354
15,1998,0.5,0.4375,0.375
16,1999,0.1875,0.125,0.25
17,2000,0.5294117647058824,0.5294117647058824,0.5882352941176471
18,2001,0.5294117647058824,0.5294117647058824,0.35294117647058826
19,2002,0.5882352941176471,0.5882352941176471,0.6470588235294118
20,2003,0.3125,0.4375,0.3125
21,2004,0.7777777777777778,0.7777777777777778,0.7222222222222222
22,2005,0.3684210526315789,0.3684210526315789,0.3684210526315789
23,2006,0.4444444444444444,0.6111111111111112,0.5
24,2007,0.35294117647058826,0.35294117647058826,0.47058823529411764
25,2008,0.3333333333333333,0.3333333333333333,0.3333333333333333
26,2009,0.4117647058823529,0.29411764705882354,0.47058823529411764
27,2010,0.2631578947368421,0.42105263157894735,0.2631578947368421
28,2011,0.5789473684210527,0.5789473684210527,0.5263157894736842
29,2012,0.3,0.4,0.45
30,2013,0.6842105263157895,0.631578947368421,0.47368421052631576
31,2014,0.5263157894736842,0.47368421052631576,0.42105263157894735
32,2015,0.5263157894736842,0.5789473684210527,0.5263157894736842
33,2016,0.47619047619047616,0.6666666666666666,0.5238095238095238
34,2017,0.45,0.5,0.45
35,2018,0.5238095238095238,0.5238095238095238,0.5714285714285714
36,2019,0.47619047619047616,0.42857142857142855,0.47619047619047616
37,2020,0.5882352941176471,0.47058823529411764,0.5882352941176471
38,2021,0.5789473684210527,0.47368421052631576,0.3684210526315789
39,2022,0.5789473684210527,0.5263157894736842,0.3157894736842105
