,Test Year,Linear Precision,SVM Precision,Forest Precision
0,1983,0.0,0.06666666666666667,0.26666666666666666
1,1984,0.375,0.375,0.4375
2,1985,0.1875,0.125,0.125
3,1986,0.25,0.1875,0.1875
4,1987,0.125,0.1875,0.1875
5,1988,0.5,0.625,0.3125
6,1989,0.3125,0.375,0.3125
7,1990,0.3125,0.3125,0.375
8,1991,0.4375,0.375,0.375
9,1992,0.5,0.4375,0.4375
10,1993,0.3125,0.4375,0.375
11,1994,0.5625,0.5625,0.3125
12,1995,0.47058823529411764,0.47058823529411764,0.29411764705882354
13,1996,0.4375,0.25,0.375
14,1997,0.35294117647058826,0.5294117647058824,0.23529411764705882
15,1998,0.4375,0.4375,0.375
16,1999,0.25,0.125,0.1875
17,2000,0.47058823529411764,0.5294117647058824,0.35294117647058826
18,2001,0.5294117647058824,0.5294117647058824,0.4117647058823529
19,2002,0.5882352941176471,0.5294117647058824,0.47058823529411764
20,2003,0.4375,0.4375,0.5625
21,2004,0.7777777777777778,0.7222222222222222,0.6666666666666666
22,2005,0.3684210526315789,0.3684210526315789,0.3684210526315789
23,2006,0.4444444444444444,0.6666666666666666,0.5555555555555556
24,2007,0.47058823529411764,0.4117647058823529,0.4117647058823529
25,2008,0.3888888888888889,0.3888888888888889,0.2777777777777778
26,2009,0.4117647058823529,0.4117647058823529,0.4117647058823529
27,2010,0.21052631578947367,0.42105263157894735,0.05263157894736842
28,2011,0.5789473684210527,0.5789473684210527,0.5263157894736842
29,2012,0.4,0.4,0.45
30,2013,0.6842105263157895,0.631578947368421,0.5263157894736842
31,2014,0.5263157894736842,0.42105263157894735,0.3684210526315789
32,2015,0.5263157894736842,0.631578947368421,0.5789473684210527
33,2016,0.42857142857142855,0.5238095238095238,0.47619047619047616
34,2017,0.45,0.45,0.45
35,2018,0.5238095238095238,0.47619047619047616,0.5714285714285714
36,2019,0.42857142857142855,0.38095238095238093,0.5238095238095238
37,2020,0.6470588235294118,0.5882352941176471,0.5882352941176471
38,2021,0.42105263157894735,0.3684210526315789,0.2631578947368421
39,2022,0.6842105263157895,0.5789473684210527,0.47368421052631576
